algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,total_tp_all,total_fp_all,total_fn_all,total_tn_all,noise_norm_honest,noise_norm_attacker,balance_local_norm_honest,balance_local_norm_attacker,balance_threshold_honest,balance_threshold_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,balance_kept_honest,balance_kept_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,10,2.8316275930214454,0.8383979803323746,0.7237769621610641,nan,0.5949907465414568,4.639491240183513,1000.0,nan,nan,0,0,0,51156,206.27731323242188,213.49657989501952,5.3331897042014385,14.058828369776409,9.91217054383606,26.129485763081526,0.961720039261505,2.7732160296805866,0.9140620203303468,0.946472384049141,206.27731323242188,213.49657989501952,0.9140620203303468,0.946472384049141,2237.3690731841248,1748.8190431138958,0.9898052378134294,0.9539862463871638,60.90909090909091,168.28666666666666,2.048617633512954,1.1198840350484702,0.9552531560517584,0.9453260367793442,132.636048828125,1098.5135454783883
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,11,2.9228388195785384,0.8437389802932739,0.6820572239160537,nan,0.8107276329627404,4.918186842600504,1000.0,nan,nan,0,0,0,51594,211.2033174954928,212.46781962076824,5.380629942967341,16.241977151234945,9.93389490842109,29.98646921188644,1.037890976496898,2.846876372595953,0.9362529482351621,0.9417717976415095,211.2033174954928,212.46781962076824,0.9362529482351621,0.9417717976415095,2506.948083253614,1745.78727418758,0.9548813654826238,0.9487207949161529,69.15384615384616,168.98333333333332,2.123282214156331,1.1260852069059253,0.9489766652591693,0.9415425802540256,132.97197802734374,1112.6530146771418
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,12,3.0312120584006434,0.8479754805564881,0.6478666758537293,nan,1.0287434943020344,5.1810724401474,1000.0,nan,nan,0,0,0,50592,207.71498107910156,211.28290222167968,5.447491526603699,18.591744937896728,9.9905110375657,34.096617149850964,1.0787824102026689,2.9270430221939012,0.9209824254871029,0.9366355554516429,207.71498107910156,211.28290222167968,0.9209824254871029,0.9366355554516429,2689.8473378113476,1697.0464512837477,0.9615952149033546,0.943946360150973,46.125,167.41,2.1877387773974077,1.1454064128896937,0.9444047719627232,0.9362289806473689,130.09318103027343,1061.26542817523
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,13,3.140859578653169,0.851400978565216,0.6192128714919091,nan,0.7005398362874985,5.433193051020305,1000.0,nan,nan,0,0,0,50896,210.30525970458984,209.8578271484375,5.426862621307373,21.093822854359946,9.886547829813747,38.42829699510761,1.1434779142292846,3.015610780132501,0.9337881717493186,0.9305313983589361,210.30525970458984,209.8578271484375,0.9337881717493186,0.9305313983589361,2945.452942678228,1626.589360215362,0.9365755259990692,0.9402844319740932,53.8,167.86,2.2667576337712143,1.1586896234689612,0.9401647898458665,0.9306364555650776,130.1208014831543,1034.8626749827818
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,14,3.283469250881173,0.8547864788770676,0.5947995916008949,nan,0.815327878509249,5.673844920794169,1000.0,nan,nan,0,0,0,50650,205.58878871372767,208.41815434773764,5.490656920841762,23.7376158396403,9.936303663151463,42.95736605333925,1.1953142590385952,3.114355631019626,0.9113211542717536,0.9238492037456266,205.58878871372767,208.41815434773764,0.9113211542717536,0.9238492037456266,3089.758871899793,1536.268196527721,0.9517311538968768,0.9373204668362936,55.714285714285715,167.53333333333333,2.346739082227214,1.1794750019014082,0.9376490492774143,0.923563547894431,127.92913565063476,965.0175421232298
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,15,3.461693107510734,0.857475478053093,0.5740306600928307,nan,0.8557468685838912,5.910012601216634,1000.0,nan,nan,0,0,0,50698,211.68763902452258,206.5683255513509,5.516491307152642,26.514003823598227,9.916723152125183,47.662911247969596,1.2488625136222862,3.2265748397417777,0.9382718592134047,0.9158462516083242,211.68763902452258,206.5683255513509,0.9382718592134047,0.9158462516083242,3379.332273322536,1433.7444268501197,0.9098836249775357,0.935938463807106,47.77777777777778,167.56,2.4354899092939815,1.204908956415013,0.9351795850062448,0.9164994246453653,127.75137283325195,921.0746370298775
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,16,3.5067305025406648,0.8599064785242081,0.5559266832470894,nan,1.0241854041814804,6.09881694316864,1000.0,nan,nan,0,0,0,51270,205.10136871337892,205.82335998535157,5.545993852615356,29.41800537109375,9.90351441919609,52.531908278121385,1.2947658520764913,3.3444955448404268,0.9090786950204466,0.9123811171243245,205.10136871337892,205.82335998535157,0.9090786950204466,0.9123811171243245,3471.9908506008987,1348.116109136775,0.9331862688064575,0.929310840566953,71.6,168.51333333333332,2.5246036677348527,1.236449144741137,0.9294358543811306,0.9122745873790382,127.59604336547852,878.309482494083
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,17,3.5414704352750563,0.8618594759702682,0.5403059256076813,nan,0.905814070593227,6.294732128779094,1000.0,nan,nan,0,0,0,50992,205.02829256924716,204.46521372477213,5.557837529615923,32.424093907674155,9.858719377939924,57.51518305750497,1.3517139072685365,3.449588388651957,0.9091083805569142,0.9061803557576127,205.02829256924716,204.46521372477213,0.9091083805569142,0.9061803557576127,3678.7169540755767,1261.4462991180503,0.9224294261498884,0.925900028149287,53.63636363636363,168.00666666666666,2.6104385960985885,1.2565041803247334,0.9257772737377327,0.906283919335723,127.18975067138672,837.7995524604928
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,18,3.5835530306259007,0.8640524789690971,0.5264658859372139,nan,0.8352641974176679,6.489563374519348,1000.0,nan,nan,0,0,0,51174,201.89178139822823,202.71372024536132,5.578523669924055,35.53433294932047,9.829663287362152,62.613434790282774,1.4510955710878062,3.5193994296830584,0.8947785982446032,0.8986561777070242,201.89178139822823,202.71372024536132,0.8947785982446032,0.8986561777070242,3780.037859372268,1181.7319949372586,0.9287555260317666,0.9241132205724716,50.857142857142854,168.20666666666668,2.6920778862449573,1.2435892798647856,0.924320202344542,0.8984832919985085,127.28120202636718,814.8802570247785
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,19,3.634996941627998,0.8656174808740615,0.5143734402954578,nan,1.0476001368628607,6.646235809326172,1000.0,nan,nan,0,0,0,50870,205.29800923665366,201.72656667073568,5.6463919215732155,38.746900965372724,9.883143117241033,67.82050784098726,1.4952546740263728,3.566865554280163,0.9097555815518648,0.8942826767994524,205.29800923665366,201.72656667073568,0.9097555815518648,0.8942826767994524,3994.9003320344377,1115.1612625519326,0.8998784290419685,0.9185890328884124,57.333333333333336,167.84666666666666,2.738221202178647,1.2441179690458113,0.9180440638443413,0.8947333439281635,124.73130416870117,741.0049635077794
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,20,3.6859277240176755,0.8672184792160987,0.5034260514378548,nan,0.8052114775547614,6.81137087504069,1000.0,nan,nan,0,0,0,51138,202.16577735314002,200.24985682169597,5.619147300720215,42.04206672668457,9.770103963600178,73.0992338840587,1.5585398040629377,3.610147628590703,0.8959351970713804,0.8876485689861653,202.16577735314002,200.24985682169597,0.8959351970713804,0.8876485689861653,4128.554306471355,1055.373404934138,0.905702279164241,0.9158235895633697,52.23076923076923,168.19666666666666,2.7895044987795967,1.2361277495597927,0.9154032156490289,0.887992742037628,125.40622430419921,740.566454928738
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,21,3.739568524790789,0.8685894763469696,0.493724175542593,nan,0.8287794632571084,6.960502378145853,1000.0,nan,nan,0,0,0,50626,204.69595336914062,198.84050811767577,5.635367665972028,45.42313701629639,9.733201793044952,78.45318794767293,1.590346749232544,3.652435695546739,0.9085669235729688,0.8816580896614978,204.69595336914062,198.84050811767577,0.9085669235729688,0.8816580896614978,4362.695120638596,1001.9186460417144,0.8791209203856332,0.912317758401235,54.142857142857146,167.49,2.8276001170210607,1.240053807243755,0.9115608272412701,0.8822716461350494,122.17004821777344,662.2289193139691
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,22,3.7980384311021327,0.8698604771494866,0.4848877614736557,nan,1.0513704373286321,7.077791210810344,1000.0,nan,nan,0,0,0,51354,207.5888214111328,198.02405278523764,5.730978598961463,48.88177597045898,9.832568072662335,83.86584968739295,1.628768190060345,3.69624451375357,0.9200983110633874,0.8779397863065549,207.5888214111328,198.02405278523764,0.9200983110633874,0.8779397863065549,4577.214185588422,958.5950726004795,0.8534869047311636,0.9060196614265442,60.23076923076923,168.57,2.86925398427628,1.243828775548217,0.9038377897427105,0.8796907793475736,124.21174102783203,694.1646123855866
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,23,3.8581531741803685,0.8709149780869484,0.47710067525506017,nan,1.1580898612737656,7.16838636080424,1000.0,nan,nan,0,0,0,50496,209.3499813079834,197.58227584838866,5.853206396102905,52.40130936940511,9.975546951952785,89.30690062567102,1.6622025573372126,3.7416053319945117,0.9284643852229593,0.8758222583891961,209.3499813079834,197.58227584838866,0.9284643852229593,0.8758222583891961,4701.6410875097645,923.3104761792238,0.831434715539217,0.8976900968949,40.5,167.24,2.909844222131592,1.2482900877372405,0.8959691778986485,0.8771895863589044,121.89896520996093,629.2125431076905
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,24,3.9191791627392147,0.8719174778461456,0.46993410021066667,nan,0.9615602530539036,7.267973621686299,1000.0,nan,nan,0,0,0,50612,195.74140739440918,196.61869517008464,5.74787563085556,55.96848617553711,9.730943356926684,94.75260143477028,1.6985912308967677,3.78890100689419,0.8688551608669838,0.8717570720805503,195.74140739440918,196.61869517008464,0.8688551608669838,0.8717570720805503,4610.223267134806,888.9063526153607,0.8954686149954796,0.891779562830925,47.5,167.44,2.9527770964952214,1.2531050202042915,0.8918753823676666,0.8716816977633148,121.10307962036133,607.1073838433733
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,25,3.9717689379764307,0.8728764790296555,0.4634704698622227,nan,0.8468599518140157,7.335857585271199,1000.0,nan,nan,0,0,0,50990,191.6969231499566,196.28519694010416,5.72083494398329,59.58718448638916,9.620811447705604,100.20863602193678,1.7689174961376504,3.8380411267173984,0.8485879559325942,0.8697907259628201,191.6969231499566,196.28519694010416,0.8485879559325942,0.8697907259628201,4634.159960721669,860.6708043811024,0.9103914962874519,0.8831666006644567,63.333333333333336,168.06666666666666,3.0103916744854997,1.243655583699054,0.8839595587893982,0.8691731695541728,121.22166278076172,599.8173619216515
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,26,4.030636722395821,0.8738074779510498,0.4573168225586414,nan,0.954111302892367,7.397149192492167,1000.0,nan,nan,0,0,0,50498,203.1507771809896,195.67113677978514,5.828794876734416,63.24129267374674,9.737237457925788,105.64713580304515,1.8035228578912876,3.8890261532710535,0.9013743243104978,0.8675220861158681,203.1507771809896,195.67113677978514,0.9013743243104978,0.8675220861158681,5004.441907710242,837.0200195722699,0.8309805194536845,0.8748845056692759,51.666666666666664,167.29333333333332,3.0548248351191467,1.2493724984056616,0.8740236431944604,0.8681858554922335,119.84049139404297,562.2653146358847
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,27,4.097019996092524,0.8746064788103104,0.45202405005693436,nan,0.9188259707556831,7.469525299072266,1000.0,nan,nan,0,0,0,51068,202.60770161946616,194.74738169352213,5.767273637983534,66.92753929138183,9.5704476076623,111.0622711014425,1.8409976787160445,3.9424004768444365,0.8973162268143331,0.8634282112678717,202.60770161946616,194.74738169352213,0.8973162268143331,0.8634282112678717,5125.7698225791355,813.4672827201673,0.8245476418071322,0.868939737478892,67.88888888888889,168.19,3.1018393575930796,1.2552198568525679,0.8676467638185494,0.864415240846895,120.49536764526367,580.3442264385249
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,28,4.177144882683026,0.8753224760293961,0.4469697247445583,nan,1.1171032667160035,7.501902508735657,1000.0,nan,nan,0,0,0,50792,191.97905731201172,194.47409495035808,5.853834104537964,70.650924021403,9.649544346657013,116.46199948651142,1.8720413461309122,3.99706721299871,0.8538231407902404,0.8621194236666584,191.97905731201172,194.47409495035808,0.8538231407902404,0.8621194236666584,5003.730295427762,794.4909520986374,0.8702811479568482,0.859304088751475,48.5,167.69,3.1470568662515905,1.2686072305240474,0.8596581874355194,0.8618518016383868,120.52403811645507,576.7691771677377
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,29,4.2587772457206965,0.8760249790549278,0.4421523384749889,nan,0.808472540229559,7.535400808652242,1000.0,nan,nan,0,0,0,50692,195.83037185668945,194.00257558186848,5.769105672836304,74.39156277974446,9.446688464215448,121.8133204346163,1.9170444085055514,4.053338425331278,0.8696442307255112,0.8599636140224814,195.83037185668945,194.00257558186848,0.8696442307255112,0.8599636140224814,5207.41718442843,776.8075140826808,0.837783545255661,0.8507209875186285,52.375,167.57666666666665,3.198820818600987,1.2735148461888324,0.8503849500572527,0.8602150586121706,119.53483129882812,549.4031834004633
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,30,4.347206416085266,0.8766584780812263,0.4379522183537483,nan,0.9133871266475091,7.586613100369771,1000.0,nan,nan,0,0,0,51220,198.35511427659256,193.05774943033853,5.866398701300988,78.14987330118815,9.542175032587467,127.1171305913956,1.983069926893403,4.112872570679074,0.8787685864732502,0.8556756664809234,198.35511427659256,193.05774943033853,0.8787685864732502,0.8556756664809234,5465.461647015652,762.5448717538045,0.8137864837279687,0.844958665172259,55.46153846153846,168.33,3.2609515131648057,1.271043806891361,0.8436639739301639,0.8566347973432245,120.99188262939452,599.6289258746896
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,31,4.439098509466038,0.8772864770889283,0.43389873668551443,nan,0.9864063858985901,7.578576471010844,1000.0,nan,nan,0,0,0,50610,189.596675327846,192.987525583903,5.841206959315708,81.9343586730957,9.438067958797001,132.38737314106692,2.028131814817703,4.173684876829607,0.8398572362655073,0.855640866865786,189.596675327846,192.987525583903,0.8398572362655073,0.855640866865786,5309.960495183027,746.2344757273682,0.854917551789965,0.8333977534373601,52.857142857142854,167.46666666666667,3.3154636520248455,1.2766977263765273,0.8338884328786247,0.8552809795231087,118.44686880493164,522.0801323689833
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,32,4.5298276489064575,0.8778044775128364,0.4302950845658779,nan,1.0224081307649613,7.6079416211446125,1000.0,nan,nan,0,0,0,50790,181.38919677734376,192.18211578369142,5.8967818260192875,85.71570508321126,9.464556525727977,137.57692921977,2.091790640754384,4.237536805345352,0.8037221673065658,0.8519949338224986,181.38919677734376,192.18211578369142,0.8037221673065658,0.8519949338224986,5208.0122993490695,735.9557696352323,0.893171888589859,0.826694121559461,48.2,167.69333333333333,3.3792383395089645,1.2746496824510587,0.8288385656572157,0.8504377478058556,118.93705340576172,545.7337077681208
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,33,4.661698666182811,0.8783464780449868,0.426937852948904,nan,0.8900875210762024,7.607170928319295,1000.0,nan,nan,0,0,0,50220,187.0015899658203,191.75323618570962,5.974359226226807,89.51227437337239,9.525356646248357,142.7159474911093,2.1306089756698254,4.303335273011836,0.828991481107594,0.8502112478449664,187.0015899658203,191.75323618570962,0.828991481107594,0.8502112478449664,5298.160527434031,720.9671486080313,0.8468992710113525,0.817383251786232,33.8,166.83666666666667,3.434244754075032,1.2832268865443661,0.8178671209538569,0.8498633828164847,116.92195761108398,485.56189443915906
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,34,4.796852501476151,0.878753477036953,0.4238156504929066,nan,0.9969974343593304,7.5665305169423425,1000.0,nan,nan,0,0,0,51432,191.43234135554388,191.96817204793294,5.982564999507024,93.30919100443522,9.475061606082452,147.78114959947627,2.162281467842283,4.367729901515232,0.8496844536374175,0.8509260627882209,191.43234135554388,191.96817204793294,0.8496844536374175,0.8509260627882209,5689.360988135245,711.250147460107,0.8062378741227664,0.8044934783379237,63.38461538461539,168.69333333333333,3.4855505280460526,1.298890791024705,0.8045659292810641,0.8508744943570373,120.15814410400391,574.6734741675805
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,35,4.925743857217437,0.8793059775233268,0.42086407482624055,nan,1.0125914974646135,7.517074805895487,1000.0,nan,nan,0,0,0,51080,190.10344487970525,192.11196736653645,5.957786603407427,97.08587720235188,9.373121865058701,152.74091184691224,2.2123946568333945,4.4338670201146275,0.84184115058381,0.8517132933368103,190.10344487970525,192.11196736653645,0.84184115058381,0.8517132933368103,5704.963025525873,703.1653456094717,0.8053705421361056,0.7913613047202428,57.36363636363637,168.16333333333333,3.5452780748021344,1.3037976878529027,0.7918568082944373,0.8513641178696625,119.44945620727539,547.4083939272523
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,36,5.045972270899305,0.8797209802269935,0.4180688214302063,nan,0.7092242936293284,7.461770497957866,1000.0,nan,nan,0,0,0,50464,183.2645467122396,192.28832885742187,5.898896376291911,100.83839823404948,9.218808436939298,157.59047406624552,2.2546305946371485,4.498656764179487,0.8124769531235496,0.8523854791156814,183.2645467122396,192.28832885742187,0.8124769531235496,0.8523854791156814,5685.344431254914,698.427459097035,0.8354528844356537,0.778250820239385,49.0,167.23333333333332,3.6010462963625516,1.3111168498826278,0.7793724293412726,0.8516029589981887,117.572171875,487.28060863328
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,37,5.168153158965564,0.8800629779696465,0.4156892667710781,nan,1.117939978837967,7.410877579053243,1000.0,nan,nan,0,0,0,50688,187.44027252197264,192.2988246154785,6.17170033454895,104.56381546020508,9.581059953044884,162.32677066887496,2.3071823908043756,4.563812864944025,0.8321537910617739,0.8522387606732041,187.44027252197264,192.2988246154785,0.8321537910617739,0.8522387606732041,5956.211793810946,691.032544234272,0.7952621519565582,0.7661844462156295,43.5,167.51,3.6611606752881656,1.3155982138533329,0.7671224367234015,0.8515908584276741,119.12810021972656,533.7437624167821
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,38,5.2469689607276715,0.8803729763627053,0.41340431168675423,nan,1.0214046935240428,7.375980267524719,1000.0,nan,nan,0,0,0,51840,197.41386922200522,191.90079584757487,6.04219913482666,108.26404141743978,9.317694449298067,166.95432164083982,2.353454802972235,4.631086084830409,0.8749685346099223,0.850522169629435,197.41386922200522,191.90079584757487,0.8749685346099223,0.850522169629435,6342.280616640681,684.1696757397962,0.7205469956000646,0.7562945383787155,60.611111111111114,169.16333333333333,3.720033572087139,1.327821204392434,0.7542710925610561,0.8519059261377645,122.24737680053711,638.8239076429422
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,39,5.33669431946617,0.880690976679325,0.41111878380179406,nan,1.0140297561883926,7.290092190901438,1000.0,nan,nan,0,0,0,50638,180.27938385009764,192.20521377563477,6.019458818435669,111.94678461710612,9.220948181317727,171.48642945409063,2.4127149511688497,4.696820802683971,0.7985222236307387,0.8519477785733643,180.27938385009764,192.20521377563477,0.7985222236307387,0.8519477785733643,5861.4587601610565,681.7955323827479,0.8205980122089386,0.7416894936561584,41.1,167.42333333333335,3.7831784620779225,1.3298650653052018,0.7442349297385062,0.8502243735752152,118.92871594238281,526.30649463287
noise-game,scale,mnist,42,500,300,1.1,1.0,0.05,iid,1.0,50,40,5.511216159188446,0.8810879775881767,0.40899019613862037,nan,1.2489483025338914,7.211567171414694,1000.0,nan,nan,0,0,0,51206,180.32673814561633,192.30010599772135,6.1890979872809515,115.58724347432454,9.417815884864817,175.88659606251852,2.424445771906146,4.763721168400465,0.8003641631476923,0.8524346436796807,180.32673814561633,192.30010599772135,0.8003641631476923,0.8524346436796807,5865.435949730552,675.3755956346996,0.8059969743092855,0.7283169454336167,74.55555555555556,168.45,3.8280110098027373,1.357100865582672,0.7305794705465002,0.8509180277418557,118.6259448852539,510.80320447596966
